0-5cm,0.0375
0.33,"[32.7935013656843, 42.30130465302685, 0.625962719568893]"
avg,42.30130465302685
5-10cm,0.0475
2.0,"[33.326557955425045, 36.40885709141614, 0.9899657330114133]"
avg,36.40885709141614
10-15cm,0.0525
5.0,"[39.15263457723492, 40.028446596329104, 0.9953638733001913]"
avg,40.028446596329104
15-20cm,0.475
5.0,"[0.0351271686175663, 0.04012749906404028, 0.9583698143791763]"
avg,0.04012749906404028
15-20cm,0.0475
5.0,"[350.9439330460087, 400.9734212006616, 0.9578894373559197]"
avg,400.9734212006616
