2067, 804, 66, 100, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4480_CROPED.jpg, path time not found, 0, Start 
2067.0, 804.0, 66.0, 100.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4480_CROPED.jpg, path time not found, 0, Auto
2067.0, 804.0, 66.0, 100.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4481_CROPED.jpg, path time not found, 0, Auto
2067.0, 804.0, 66.0, 100.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4482_CROPED.jpg, path time not found, 0, Auto
2111.0, 792.0, 67.0, 102.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4483_CROPED.jpg, path time not found, 0, Auto
1752, 815, 82, 107, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4483_CROPED.jpg, path time not found, 0, Start 
1751.0, 815.0, 82.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4483_CROPED.jpg, path time not found, 0, Auto
1750.0, 814.0, 85.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4484_CROPED.jpg, path time not found, 0, Auto
1751.0, 813.0, 85.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4485_CROPED.jpg, path time not found, 0, Auto
1748.0, 810.0, 91.0, 118.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4486_CROPED.jpg, path time not found, 0, Auto
1597, 723, 127, 203, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4486_CROPED.jpg, path time not found, 0, Start 
1597.0, 723.0, 127.0, 203.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4486_CROPED.jpg, path time not found, 0, Auto
1597.0, 729.0, 122.0, 195.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4487_CROPED.jpg, path time not found, 0, Auto
1594.0, 734.0, 117.0, 188.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4488_CROPED.jpg, path time not found, 0, Auto
1591.0, 732.0, 122.0, 195.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4489_CROPED.jpg, path time not found, 0, Auto
1581.0, 744.0, 122.0, 195.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4490_CROPED.jpg, path time not found, 0, Auto
1579.0, 745.0, 120.0, 191.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4491_CROPED.jpg, path time not found, 0, Auto
1581.0, 750.0, 113.0, 180.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4492_CROPED.jpg, path time not found, 0, Auto
1586.0, 706.0, 120.0, 191.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4493_CROPED.jpg, path time not found, 0, Auto
1587.0, 713.0, 115.0, 184.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4494_CROPED.jpg, path time not found, 0, Auto
1586.0, 711.0, 113.0, 180.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4495_CROPED.jpg, path time not found, 0, Auto
1585.0, 717.0, 111.0, 177.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4496_CROPED.jpg, path time not found, 0, Auto
1585.0, 719.0, 106.0, 170.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4497_CROPED.jpg, path time not found, 0, Auto
1584.0, 723.0, 104.0, 167.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4498_CROPED.jpg, path time not found, 0, Auto
1582.0, 722.0, 104.0, 167.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4499_CROPED.jpg, path time not found, 0, Auto
1580.0, 721.0, 104.0, 167.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4500_CROPED.jpg, path time not found, 0, Auto
1580.0, 723.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4501_CROPED.jpg, path time not found, 0, Auto
1578.0, 723.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4502_CROPED.jpg, path time not found, 0, Auto
1577.0, 722.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4503_CROPED.jpg, path time not found, 0, Auto
1575.0, 722.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4504_CROPED.jpg, path time not found, 0, Auto
1574.0, 721.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4505_CROPED.jpg, path time not found, 0, Auto
1573.0, 720.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4506_CROPED.jpg, path time not found, 0, Auto
1571.0, 720.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4507_CROPED.jpg, path time not found, 0, Auto
1571.0, 721.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4508_CROPED.jpg, path time not found, 0, Auto
1570.0, 721.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4509_CROPED.jpg, path time not found, 0, Auto
1567.0, 719.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4510_CROPED.jpg, path time not found, 0, Auto
1567.0, 720.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4511_CROPED.jpg, path time not found, 0, Auto
1566.0, 719.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4512_CROPED.jpg, path time not found, 0, Auto
1565.0, 719.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4513_CROPED.jpg, path time not found, 0, Auto
1564.0, 718.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4514_CROPED.jpg, path time not found, 0, Auto
1564.0, 719.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4515_CROPED.jpg, path time not found, 0, Auto
1563.0, 719.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4516_CROPED.jpg, path time not found, 0, Auto
1562.0, 719.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4517_CROPED.jpg, path time not found, 0, Auto
1563.0, 720.0, 96.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4518_CROPED.jpg, path time not found, 0, Auto
1561.0, 718.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4519_CROPED.jpg, path time not found, 0, Auto
1561.0, 719.0, 96.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4520_CROPED.jpg, path time not found, 0, Auto
1562.0, 720.0, 94.0, 151.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4521_CROPED.jpg, path time not found, 0, Auto
