event_id,exp_num,event_num,event_label,twine_state,frm0_side,frm_dec_side,frm0_top,frm_dec_top,ltip_cm,Lbase_cm,contact_R_cm,contact_E_MPa,start_height_cm,arm_cm,L0_cm,Lsup_cm,m_sup_g,avgT_min,omega0,pix2cm_s,pix2cm_t,E_sections,r_sections,r_source,twine_estimate_min,contact_start_time_min,h5_compensation_min,fit_A,fit_w,fit_T,fit_R2,fit_rmse,fit_Std,n_raw,n_shifted,n_fit
0,21,1,,1.0,10,136,9,135,2.693523924,37.26862460682307,0.043255878579224145,2.5129867661063567,32.0,9.0,41.0,17.57295645,0.65,102.5,0.06129936885053255,0.011459129,0.002635542,{0.0: 0.0},{},{},,,,0.36631205991513044,0.03134111842839085,200.47737994850442,0.9394026097082849,0.0253522266110716,0.025455917132209297,126,0,125
1,22,1,,0.0,30,199,8,177,0.94833219,37.446248129497164,0.042012497561337264,0.48116431230407736,32.0,8.0,40.0,17.78192876,0.65,146.5,0.04288863690907568,0.013032146,0.003270111,{0.0: 0.0},{},{},,,,0.33931314052716394,0.024910217221806676,252.2332604020497,0.9728715734474227,0.01556037733824484,0.015607458769102084,169,0,168
2,22,2,,1.0,38,275,42,279,2.043819375,36.35076094449717,0.042792989437748674,1.5290422941294817,32.0,8.0,40.0,17.78192876,0.65,146.5,0.04288863690907568,0.013032146,0.003270111,{0.0: 0.0},{},{},156.5,19.0,0.0,0.3853627291641168,0.017760133524606606,353.78029666692845,0.9311598147729009,0.027564492954790926,0.0276279326082188,237,0,220
3,23,1,,1.0,14,208,7,201,0.81752775,36.09564559814673,0.04191930450146725,0.4073231430440537,31.0,11.0,42.0,17.7832898,0.65,99.0,0.06346651825433926,0.01305483,0.003270111,{0.0: 0.0},{},{},105.0,7.0,0.0,0.3701155233150962,0.02405668579544209,261.1824987284837,0.9376103580585626,0.025734889889055253,0.025823478412278174,194,0,148
4,24,1,roll around,1.0,3,276,15,288,1.6303003200000001,37.0,0.042498373245438925,1.0433416805324678,27.0,10.0,37.0,17.73710072,0.65,97.0,0.06477510625958337,0.012285012,0.003293536,{0.0: 0.0},{},{},240.0,1.5,112.5,0.2880555143031921,0.026819202705683567,234.27934738149557,0.790287954910322,0.03297698206916267,0.03309289449006614,273,0,145
5,25,0,,0.0,40,313,12,16,0.032935360000000004,32.00574542002252,0.041360313036232346,0.1940091248652152,27.0,8.0,35.0,17.79751886,0.65,94.0,0.06684239688488922,0.013291981,0.003293536,{0.0: 0.0},{},{},,,,,,,,,,4,0,0
6,25,1,,0.0,29,72,10,53,0.77398096,31.264699820022525,0.04188827911266839,0.3851674677504139,27.0,8.0,35.0,17.79751886,0.65,94.0,0.06684239688488922,0.013291981,0.003293536,{0.0: 0.0},{},{},,,,0.2779163863747221,0.05719816216793132,109.84942643318551,0.9985670113443942,0.003063756293744977,0.003102786609825888,43,0,42
7,25,3,,0.0,14,121,16,123,1.10333456,30.935346220022524,0.04212293070219552,0.58282779508749,27.0,8.0,35.0,17.79751886,0.65,94.0,0.06684239688488922,0.013291981,0.003293536,{0.0: 0.0},{},{},,,,0.4074876891869343,0.03462930041385049,181.4413006353006,0.998914626867688,0.004174183226784064,0.0041943973073655045,107,0,106
8,25,4,,0.0,22,72,13,63,0.3293536,31.709327180022523,0.041571499466806765,0.22833960277112844,27.0,8.0,35.0,17.79751886,0.65,94.0,0.06684239688488922,0.013291981,0.003293536,{0.0: 0.0},{},{},,,,0.3287395798621423,0.05237273209732866,119.97054680101496,0.9990949758419783,0.002921312428895304,0.0029528951027440646,50,0,49
9,25,5,,0.0,24,61,24,61,0.49403040000000004,31.544650380022524,0.04168882526157033,0.27168616578364513,27.0,8.0,35.0,17.79751886,0.65,94.0,0.06684239688488922,0.013291981,0.003293536,{0.0: 0.0},{},{},,,,0.2613470287479748,0.056302002156604594,111.5979017886938,0.9962509740698516,0.00427934823349471,0.004343702945921678,37,0,36
10,25,6,,1.0,40,319,30,309,1.8608478400000001,30.177832940022522,0.04266262935810792,1.3006468785747667,27.0,8.0,35.0,17.79751886,0.65,94.0,0.06684239688488922,0.013291981,0.003293536,{0.0: 0.0},{},{},,,,0.5181504508339907,0.029102068800596344,215.90167181004102,0.9982077886082594,0.006631214460434833,0.006655197231160349,279,0,141
11,25,7,,1.0,14,215,15,216,3.91930784,28.119372940022522,0.04412920179265248,5.104307782923108,27.0,8.0,35.0,17.79751886,0.65,94.0,0.06684239688488922,0.013291981,0.003293536,{0.0: 0.0},{},{},,,,0.4206551099889894,0.029003538624752755,216.6351281638879,0.9995713796614175,0.002670719292513506,0.002680378344991257,201,0,141
12,26,1,,0.0,20,99,19,98,1.304047755,42.0,0.04226593102235543,0.7372966100752337,33.0,9.0,42.0,17.7128,0.65,106.7498178,0.058858979215790155,0.01188,0.003219871,{0.0: 0.0},{},{},,,,0.6903362133323482,0.046667738229321215,134.636593620727,0.9954317637915403,0.014299700231605024,0.01439471589634943,79,0,78
13,26,2,,0.0,17,95,90,168,1.9319226,42.0,0.042713267351465994,1.386823960512816,33.0,9.0,42.0,17.7128,0.65,106.7498178,0.058858979215790155,0.01188,0.003219871,{0.0: 0.0},{},{},,,,0.7069690832669838,0.048670353393990846,129.0967677246278,0.988526837725094,0.02263292440906134,0.022785336396514217,78,0,77
14,26,3,,1.0,19,120,13,114,1.787028405,42.0,0.042610035890902016,1.2145612533359142,33.0,9.0,42.0,17.7128,0.65,106.7498178,0.058858979215790155,0.01188,0.003219871,{0.0: 0.0},{},{},,,,0.9099357103124263,0.039659279209917304,158.42913518227522,0.9943327578689104,0.02049974086660535,0.020605138686620277,101,0,100
15,27,1,,1.0,11,201,10,200,1.19135227,37.677659189182954,0.042185639886361224,0.6473951972388036,33.0,10.0,43.0,17.79400088,0.65,89.0,0.07059758772111895,0.013233348,0.003219871,{0.0: 0.0},{},{},159.5,5.5,60.0,0.5490391377910274,0.03137092012915728,200.2869307406691,0.9909820633556116,0.015550850743702086,0.015610547127288866,190,0,133
16,28,1,,0.0,34,87,13,66,0.39344268,37.00789932979381,0.04161716043572689,0.24314839946670555,33.0,13.0,46.0,17.69955158,0.65,105.0,0.059839860068377014,0.011659193,0.003278689,{0.0: 0.0},{},{},,,,0.3039548317961638,0.05571897055298966,112.76563879090646,0.9964816723997312,0.005433906404113921,0.005489074380974231,53,0,52
17,28,2,,0.0,36,54,16,34,0.49180335,36.90953865979381,0.0416872385753387,0.2709843009636002,33.0,13.0,46.0,17.69955158,0.65,105.0,0.059839860068377014,0.011659193,0.003278689,{0.0: 0.0},{},{},,,,0.13861296423730027,0.11458840894760328,54.83264289019527,0.9925212101436065,0.003249513322211148,0.003363565842423101,18,0,17
18,28,3,,1.0,31,193,9,171,1.37704938,36.024292629793806,0.04231794183184503,0.7998664294045986,33.0,13.0,46.0,17.69955158,0.65,105.0,0.059839860068377014,0.011659193,0.003278689,{0.0: 0.0},{},{},102.5,15.5,85.0,0.4614782799603146,0.01815725832575037,346.0426235313765,0.8936948932838454,0.04130080392523407,0.04143468046409912,162,0,157
19,29,1,,0.0,24,102,27,105,1.24590182,41.85828189389742,0.04222450431236261,0.6898974358366197,33.0,11.0,44.0,17.70688028,0.65,94.0,0.06684239688488922,0.011781338,0.003278689,{0.0: 0.0},{},{},,,,0.17346411546454027,0.06034837221839309,104.11524082938868,0.9455159129276551,0.011056330556771965,0.011130784802438023,78,0,77
20,29,2,,1.0,33,237,31,235,1.47541005,41.62877366389742,0.04238801997145684,0.8895598897834813,33.0,11.0,44.0,17.70688028,0.65,94.0,0.06684239688488922,0.011781338,0.003278689,{0.0: 0.0},{},{},78.5,16.5,0.0,0.24612788114268608,0.03277217113505051,191.72319347678467,0.7592737418772088,0.0285054574522109,0.028608551667392942,204,0,141
21,30,1,,1.0,33,327,33,327,6.098545720000001,42.0,0.04568182375427589,12.083403314270933,35.0,7.0,42.0,20.39857549,1.1,102.6233749,0.06122567410497027,0.007122507,0.004038772,{0.0: 0.0},{},{},,,,1.8451288141781996,0.029826962359103742,210.65454911340785,0.9346807137846375,0.12121966906570615,0.1216203963374406,294,0,154
22,31,1,large deform,1.0,77,328,77,328,1.1250000999999998,36.2102415227482,0.04213836655411565,0.5982614845730767,29.0,8.0,37.0,17.7105263,0.65,102.9879699,0.06100892476354742,0.011842105,0.003214286,{0.0: 0.0},{},{},162.0,38.5,145.0,0.2032292056339103,0.03300613374196703,190.36417159003895,0.8494759842753271,0.01870527894157232,0.01876711474309744,251,0,154
23,33,1,head on impact,0.0,4,25,5,26,0.5286540000000001,37.20255014021317,0.041713493225652556,0.2830058334845936,31.0,10.0,41.0,18.30161288,0.65,100.5,0.06251925678785658,0.011693548,0.0037761,{0.0: 0.0},{},{},,,,,,,,,,21,0,0
24,33,2,head on impact,0.0,133,214,18,99,1.0573080000000001,36.673896140213174,0.04209013857402547,0.5510362768550294,31.0,10.0,41.0,18.30161288,0.65,100.5,0.06251925678785658,0.011693548,0.0037761,{0.0: 0.0},{},{},,,,0.2592174626912431,0.04875683696152348,128.8677793462683,0.9896672704919829,0.007888607033073172,0.007939666511312185,81,0,80
25,33,3,Close2axis,1.0,38,336,18,316,4.342515000000001,33.388689140213174,0.044430720381771475,6.222068157759097,31.0,10.0,41.0,18.30161288,0.65,100.5,0.06251925678785658,0.011693548,0.0037761,{0.0: 0.0},{},{},,19.0,0.0,0.43215032323319114,0.029160742922824855,215.46725760068264,0.9733318694101684,0.01903310985761944,0.019097302653208355,298,0,151
26,33,4,,1.0,24,183,8,167,2.190138,35.541066140213175,0.0428972357491103,1.727088222255921,31.0,10.0,41.0,18.30161288,0.65,100.5,0.06251925678785658,0.011693548,0.0037761,{0.0: 0.0},{},{},94.5,12.0,0.0,0.30657394874613314,0.0251969713125253,249.36272019551188,0.9797252809222415,0.012756475631927552,0.01279949928065343,159,0,151
27,35,1,,1.0,19,217,10,208,1.31115105,32.3752369057326,0.04227099184289187,0.7432352143324895,32.0,7.0,39.0,17.70234116,0.65,102.4127727,0.06135157892448689,0.011705686,0.00323741,{0.0: 0.0},{},{},169.0,9.5,143.5,0.47127292483871475,0.02370410264996606,265.0674189173992,0.9870355166057257,0.016103554669641543,0.016156789706312808,198,0,154
28,36,1,,1.0,5,184,13,192,2.6104415999999997,39.72781629772497,0.043196685665018233,2.372113315157785,35.0,6.0,41.0,20.399524269999997,1.1,90.0,0.06981317007977318,0.007136061,0.002008032,{0.0: 0.0},{},{},106.5,2.5,0.0,0.4873203183156717,0.009585529314283539,655.4865256962825,0.9873358297460074,0.009695175430585946,0.009731830288849703,179,0,135
29,37,1,,1.0,15,283,14,282,2.8746518105849583,39.60775609638042,0.04338492513130328,2.8354038739985037,34.0,7.0,41.0,17.713073,0.65,111.0,0.05660527303765393,0.01188455,0.003342618384401114,{0.0: 0.0},{},{},253.0,7.5,178.5,0.26192665884767014,0.025396506271620056,247.40353023285272,0.9238063321343442,0.01944194812169214,0.019501494809737438,268,0,166
