event_id,exp_num,event_num,twine_state,event_frame,no_twine_time_min,twine_time_estimate_min,event_time_min,start_height_cm,arm_length_cm,motor_base_rpm,motor_pwm,stage_rotation_rph,CN_avg_min,CN_avg_rate_rph,effective_CN_rate_rph,sec_diff
0,0,1,slip after motor stop,160,160.0,-1.0,160.0,42.0,,2.0,,-1.0,90.0,0.6666666666666666,-0.33333333333333337,30.0
1,1,1,slip with motor,11,11.0,-1.0,11.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
2,1,2,slip with motor,24,24.0,-1.0,24.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
3,1,3,slip with motor,7,7.0,-1.0,7.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
4,1,3,slip with motor,13,13.0,-1.0,13.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
5,1,4,slip with motor,7,7.0,-1.0,7.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
6,1,5,slip with motor,15,15.0,-1.0,15.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
7,1,6,slip with motor,20,20.0,-1.0,20.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
8,1,7,slip with motor,30,30.0,-1.0,30.0,45.0,,2.0,,0.8571428571428571,85.0,0.7058823529411765,1.5630252100840336,60.0
9,2,1,twine after motor stop,1070,1070.0,-1.0,-1.0,33.0,,2.0,,-0.5714285714285715,82.66666666666667,0.7258064516129031,0.15437788018433163,60.0
10,3,1,twine after motor stop,1020,1020.0,-1.0,-1.0,35.0,,2.0,110.0,-0.5714285714285715,80.5,0.7453416149068323,0.17391304347826075,60.0
11,4,1,twine with motor,32,-1.0,64.0,64.0,30.0,,2.0,110.0,0.6,83.0,0.7228915662650602,1.3228915662650602,120.0
12,5,1,slip after motor stop,-1,-1.0,-1.0,-1.0,30.0,,2.0,,,84.5,0.7100591715976331,,60.0
13,5,2,motor reverse-decouple,500,500.0,0.0,500.0,30.0,,2.0,,,84.5,0.7100591715976331,,60.0
14,6,1,twine with motor,40,-1.0,40.0,40.0,32.0,,2.0,,0.6,100.0,0.6,1.2,60.0
15,7,1,twine with motor,30,-1.0,30.0,30.0,33.0,,2.0,,0.6521739130434783,71.33333333333333,0.8411214953271029,1.4932954083705812,60.0
16,8,1,twine with motor,13,-1.0,13.0,13.0,37.0,,2.0,,0.9375,81.5,0.7361963190184049,1.6736963190184049,60.0
17,9,1,twine with motor,100,-1.0,16.0,16.0,37.0,,2.0,180.0,0.7692307692307692,82.25,0.729483282674772,1.4987140519055413,10.0
18,9,2,twine with motor,165,-1.0,27.0,27.0,37.0,,2.0,180.0,0.7692307692307692,82.25,0.729483282674772,1.4987140519055413,10.0
19,10,1,motor reverse-decouple,64,32.0,-1.0,32.0,41.0,,2.0,135.0,-0.5882352941176471,84.0,0.7142857142857143,0.12605042016806722,30.0
20,10,2,motor reverse-decouple,70,35.0,-1.0,35.0,41.0,,2.0,135.0,-0.5882352941176471,84.0,0.7142857142857143,0.12605042016806722,30.0
21,10,3,motor reverse-decouple,135,67.5,-1.0,67.5,41.0,,2.0,135.0,-0.5882352941176471,84.0,0.7142857142857143,0.12605042016806722,30.0
22,10,4,motor reverse-decouple,130,65.0,-1.0,65.0,41.0,,2.0,135.0,-0.5882352941176471,84.0,0.7142857142857143,0.12605042016806722,30.0
23,11,1,slip with motor,25,25.0,-1.0,25.0,38.0,,2.0,110.0,-0.6,100.0,0.6,0.0,60.0
24,12,1,motor reverse-decouple,120,120.0,-1.0,120.0,33.0,,2.0,100.0,-0.6,92.5,0.6486486486486487,0.04864864864864871,60.0
25,12,2,motor reverse-decouple,180,180.0,-1.0,180.0,33.0,,2.0,100.0,-0.6,92.5,0.6486486486486487,0.04864864864864871,60.0
26,13,1,motor reverse-decouple,40,40.0,-1.0,40.0,38.0,,2.0,110.0,-0.75,81.5,0.7361963190184049,-0.013803680981595123,60.0
