event_id,mu,E,B,LOC,kappa0,growth_zone,l_tip,l_lev,t_contact_idx,t_F0,Bk,fit_A,fit_w,fit_T,fit_R2,fit_rmse,fit_Std,n_raw,n_shifted,n_fit
0,0.0,10.0,490.8738521234052,10.0,0.04,50.0,26.817619549959694,23.182380450040306,30,0.4861111111111111,0.019634954084936207,,,,,,,360,330,0
1,0.0,100.0,4908.738521234051,10.0,0.04,50.0,26.817619549959694,23.182380450040306,15,0.38611111111111107,0.19634954084936207,13.155339902732846,5.516618149545716,1.138955993845069,0.9991835557675692,0.11511459548390497,0.11577428338019655,360,345,90
2,0.0,50.0,2454.3692606170257,10.0,0.04,50.0,26.817619549959694,23.182380450040306,18,0.4138888888888889,0.09817477042468103,7.385280636086492,4.518164259162115,1.3906500398780965,0.998666441412521,0.07477314910600273,0.07520165203584825,360,342,90
3,1.0,10.0,490.8738521234052,10.0,0.04,50.0,26.817619549959694,23.182380450040306,30,0.5444444444444444,0.019634954084936207,3.392702764258199,1.9363886282905476,3.244795603208231,0.9993132099608817,0.012259301082768851,0.012329555532322362,360,330,90
4,1.0,100.0,4908.738521234051,10.0,0.04,50.0,26.817619549959694,23.182380450040306,15,0.48055555555555557,0.19634954084936207,18.50567117984448,5.3451090866542215,1.1755017915102186,0.9996705476328837,0.10080041668038736,0.10137807422716211,360,345,90
5,1.0,50.0,2454.3692606170257,10.0,0.04,50.0,26.817619549959694,23.182380450040306,18,0.49166666666666664,0.09817477042468103,9.724266226440447,4.70385962038631,1.3357510245306965,0.9993640764165964,0.06925444671624752,0.06965132358551876,360,342,90
6,0.0,10.0,490.8738521234052,15.0,0.04,50.0,21.01801298181479,28.98198701818521,25,0.4277777777777778,0.019634954084936207,1.264898127364531,4.246110868155116,1.4797506476578544,0.9996082632382102,0.006596395828157044,0.006634197832921869,360,335,90
7,0.0,100.0,4908.738521234051,15.0,0.04,50.0,21.01801298181479,28.98198701818521,12,0.3416666666666667,0.19634954084936207,10.552724398972204,6.138324161590931,1.0235994616405384,0.999971516486561,0.01751716174920075,0.017617547452114895,360,348,90
8,0.0,50.0,2454.3692606170257,15.0,0.04,50.0,21.01801298181479,28.98198701818521,15,0.3638888888888889,0.09817477042468103,5.519086031021376,5.679016023490716,1.1063862614913889,0.9999390167397233,0.01316981282033793,0.013245285144915723,360,345,90
9,1.0,10.0,490.8738521234052,15.0,0.04,50.0,21.01801298181479,28.98198701818521,25,0.49722222222222223,0.019634954084936207,1.4339151965158643,5.087484640765429,1.2350278675699864,0.9938355823138729,0.03272027317558037,0.03290778343947477,360,335,90
10,1.0,100.0,4908.738521234051,15.0,0.04,50.0,21.01801298181479,28.98198701818521,12,0.45555555555555555,0.19634954084936207,14.226712791855185,6.156226915816908,1.0206227601904163,0.9991790963276688,0.12551184425149683,0.12623111572307597,360,348,90
11,1.0,50.0,2454.3692606170257,15.0,0.04,50.0,21.01801298181479,28.98198701818521,15,0.46388888888888885,0.09817477042468103,7.072946804123348,6.0475079557928195,1.0389709865798546,0.9998627104256804,0.02564262568424115,0.025789576031605175,360,345,90
12,0.0,10.0,490.8738521234052,20.0,0.04,50.0,15.764039849885854,34.235960150114146,20,0.3833333333333333,0.019634954084936207,0.9564551676779541,5.87718506715688,1.0690807308913128,0.9987529316970689,0.010159621574803825,0.01021784337852582,360,340,90
