1052, 509, 80, 131, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7930_CROPED.JPG, path time not found, 0, Start 
766, 507, 69, 114, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7930_CROPED.JPG, path time not found, 1, Start 
1052.0, 509.0, 80.0, 131.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7930_CROPED.JPG, path time not found, 0, Auto
766.0, 507.0, 69.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7930_CROPED.JPG, path time not found, 1, Auto
971.0, 499.0, 82.0, 134.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7931_CROPED.JPG, path time not found, 0, Auto
764.0, 506.0, 70.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7931_CROPED.JPG, path time not found, 1, Auto
959.0, 483.0, 83.0, 136.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7932_CROPED.JPG, path time not found, 0, Auto
765.0, 506.0, 72.0, 119.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7932_CROPED.JPG, path time not found, 1, Auto
949.0, 470.0, 85.0, 139.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7933_CROPED.JPG, path time not found, 0, Auto
765.0, 506.0, 72.0, 119.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7933_CROPED.JPG, path time not found, 1, Auto
946.0, 461.0, 88.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7934_CROPED.JPG, path time not found, 0, Auto
765.0, 506.0, 72.0, 119.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7934_CROPED.JPG, path time not found, 1, Auto
942.0, 452.0, 94.0, 153.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7935_CROPED.JPG, path time not found, 0, Auto
764.0, 507.0, 70.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7935_CROPED.JPG, path time not found, 1, Auto
944.0, 446.0, 92.0, 150.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7936_CROPED.JPG, path time not found, 0, Auto
767.0, 509.0, 68.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7936_CROPED.JPG, path time not found, 1, Auto
944.0, 449.0, 88.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7937_CROPED.JPG, path time not found, 0, Auto
766.0, 509.0, 68.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7937_CROPED.JPG, path time not found, 1, Auto
976.0, 314.0, 87.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7938_CROPED.JPG, path time not found, 0, Auto
766.0, 509.0, 68.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7938_CROPED.JPG, path time not found, 1, Auto
974.0, 312.0, 88.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7939_CROPED.JPG, path time not found, 0, Auto
767.0, 510.0, 66.0, 110.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7939_CROPED.JPG, path time not found, 1, Auto
974.0, 310.0, 88.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7940_CROPED.JPG, path time not found, 0, Auto
767.0, 509.0, 66.0, 110.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7940_CROPED.JPG, path time not found, 1, Auto
976.0, 312.0, 87.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7941_CROPED.JPG, path time not found, 0, Auto
768.0, 510.0, 65.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7941_CROPED.JPG, path time not found, 1, Auto
