524, 1373, 46, 121, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2100_CROPED.jpg, path time not found, 0, Start 
523.46, 1373.15, 46.0, 121.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2100_CROPED.jpg, path time not found, 0, Auto
523.25, 1373.57, 46.0, 121.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2102_CROPED.jpg, path time not found, 0, Auto
522.88, 1373.15, 46.0, 121.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2104_CROPED.jpg, path time not found, 0, Auto
519.95, 1372.37, 46.92, 123.42, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2106_CROPED.jpg, path time not found, 0, Auto
516.3, 1371.7, 46.92, 123.42, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2108_CROPED.jpg, path time not found, 0, Auto
514.13, 1372.37, 46.92, 123.42, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2110_CROPED.jpg, path time not found, 0, Auto
511.56, 1372.55, 46.92, 123.42, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2112_CROPED.jpg, path time not found, 0, Auto
506.3, 1368.79, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2114_CROPED.jpg, path time not found, 0, Auto
503.94, 1364.67, 51.8, 136.27, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2116_CROPED.jpg, path time not found, 0, Auto
502.96, 1363.92, 51.8, 136.27, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2118_CROPED.jpg, path time not found, 0, Auto
501.8, 1363.43, 51.8, 136.27, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2120_CROPED.jpg, path time not found, 0, Auto
500.24, 1362.28, 52.84, 138.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2122_CROPED.jpg, path time not found, 0, Auto
500.94, 1364.68, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2124_CROPED.jpg, path time not found, 0, Auto
499.57, 1365.38, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2126_CROPED.jpg, path time not found, 0, Auto
499.71, 1366.57, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2128_CROPED.jpg, path time not found, 0, Auto
498.65, 1366.64, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2130_CROPED.jpg, path time not found, 0, Auto
498.02, 1366.91, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2132_CROPED.jpg, path time not found, 0, Auto
498.92, 1368.63, 48.82, 128.41, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2134_CROPED.jpg, path time not found, 0, Auto
497.88, 1366.93, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2138_CROPED.jpg, path time not found, 0, Auto
498.6, 1366.36, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2140_CROPED.jpg, path time not found, 0, Auto
499.73, 1367.21, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2142_CROPED.jpg, path time not found, 0, Auto
498.79, 1366.43, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2144_CROPED.jpg, path time not found, 0, Auto
499.59, 1367.29, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2146_CROPED.jpg, path time not found, 0, Auto
499.99, 1367.88, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2148_CROPED.jpg, path time not found, 0, Auto
500.04, 1366.27, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2150_CROPED.jpg, path time not found, 0, Auto
501.66, 1367.25, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2152_CROPED.jpg, path time not found, 0, Auto
501.91, 1367.94, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2154_CROPED.jpg, path time not found, 0, Auto
501.92, 1365.19, 51.8, 136.27, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2156_CROPED.jpg, path time not found, 0, Auto
504.1, 1366.2, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2158_CROPED.jpg, path time not found, 0, Auto
504.18, 1366.36, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2200_CROPED.jpg, path time not found, 0, Auto
506.1, 1365.61, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2202_CROPED.jpg, path time not found, 0, Auto
508.55, 1365.57, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2204_CROPED.jpg, path time not found, 0, Auto
505.64, 1317.6, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2206_CROPED.jpg, path time not found, 0, Auto
513.25, 1365.23, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2208_CROPED.jpg, path time not found, 0, Auto
516.4, 1364.35, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2210_CROPED.jpg, path time not found, 0, Auto
519.15, 1365.58, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2212_CROPED.jpg, path time not found, 0, Auto
520.43, 1367.01, 48.82, 128.41, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2214_CROPED.jpg, path time not found, 0, Auto
522.24, 1367.49, 48.82, 128.41, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2216_CROPED.jpg, path time not found, 0, Auto
523.11, 1366.5, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2218_CROPED.jpg, path time not found, 0, Auto
523.96, 1366.0, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2220_CROPED.jpg, path time not found, 0, Auto
525.74, 1365.4, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2222_CROPED.jpg, path time not found, 0, Auto
525.59, 1364.35, 50.79, 133.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2224_CROPED.jpg, path time not found, 0, Auto
527.64, 1364.66, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2226_CROPED.jpg, path time not found, 0, Auto
527.02, 1365.02, 49.79, 130.97, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2228_CROPED.jpg, path time not found, 0, Auto
527.83, 1366.63, 48.82, 128.41, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\1\1\good track\cropped\2020-05-19_2230_CROPED.jpg, path time not found, 0, Auto
