1535, 1606, 33, 38, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1314.jpg, 08-06 14:10:53, 0, Start 
1535.0, 1605.96, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1314.jpg, 08-06 14:10:53, 0, Auto
1534.05, 1606.38, 34.33, 39.54, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1321.jpg, 08-06 14:09:53, 0, Auto
1534.26, 1606.9, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1328.jpg, 08-06 14:10:44, 0, Auto
1533.9, 1607.35, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1335.jpg, 08-06 14:09:53, 0, Auto
1522.5, 1607.62, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1342.jpg, 08-06 14:10:51, 0, Auto
1512.46, 1608.08, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1349.jpg, 08-06 14:10:44, 0, Auto
1505.45, 1607.83, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1356.jpg, 08-06 14:10:13, 0, Auto
1502.57, 1608.65, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1400.jpg, 08-06 14:10:27, 0, Auto
1499.45, 1609.63, 31.72, 36.52, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1407.jpg, 08-06 14:10:53, 0, Auto
1499.26, 1610.29, 31.72, 36.52, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1414.jpg, 08-06 14:10:06, 0, Auto
1499.6, 1609.97, 32.35, 37.25, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1421.jpg, 08-06 14:10:38, 0, Auto
1499.8, 1609.69, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1428.jpg, 08-06 14:10:19, 0, Auto
1498.66, 1609.33, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1435.jpg, 08-06 14:10:06, 0, Auto
1498.01, 1608.59, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1442.jpg, 08-06 14:10:19, 0, Auto
1497.32, 1607.53, 34.33, 39.54, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1444.jpg, 08-06 14:10:44, 0, Auto
1497.42, 1607.28, 34.33, 39.54, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1446.jpg, 08-06 14:10:13, 0, Auto
1497.58, 1607.27, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1448.jpg, 08-06 14:10:38, 0, Auto
1497.56, 1608.09, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1450.jpg, 08-06 14:10:45, 0, Auto
1497.73, 1608.27, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1452.jpg, 08-06 14:10:53, 0, Auto
1496.46, 1607.68, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1454.jpg, 08-06 14:10:27, 0, Auto
1496.09, 1607.38, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1456.jpg, 08-06 14:10:51, 0, Auto
1495.61, 1607.54, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1458.jpg, 08-06 14:10:38, 0, Auto
1494.19, 1607.81, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1500.jpg, 08-06 14:09:53, 0, Auto
1492.94, 1607.36, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1502.jpg, 08-06 14:10:50, 0, Auto
