2572, 1760, 61, 89, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2360_CROPED.jpg, path time not found, 0, Start 
2572.0, 1760.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2360_CROPED.jpg, path time not found, 0, Auto
2572.0, 1761.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2361_CROPED.jpg, path time not found, 0, Auto
2571.0, 1760.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2362_CROPED.jpg, path time not found, 0, Auto
2576.0, 1757.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2363_CROPED.jpg, path time not found, 0, Auto
2611.0, 1741.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2364_CROPED.jpg, path time not found, 0, Auto
2632.0, 1729.0, 56.0, 82.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2365_CROPED.jpg, path time not found, 0, Auto
2654.0, 1716.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2366_CROPED.jpg, path time not found, 0, Auto
2676.0, 1706.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2367_CROPED.jpg, path time not found, 0, Auto
2695.0, 1697.0, 59.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2368_CROPED.jpg, path time not found, 0, Auto
2712.0, 1688.0, 55.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2369_CROPED.jpg, path time not found, 0, Auto
2731.0, 1679.0, 53.0, 77.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2370_CROPED.jpg, path time not found, 0, Auto
