3518, 1627, 58, 67, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9111.JPG, 30-05 15:06:12, 0, Start 
3519.0, 1628.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9111.JPG, 30-05 15:06:12, 0, Auto
3520.0, 1628.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9112.JPG, 30-05 15:06:42, 0, Auto
3520.0, 1628.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9113.JPG, 30-05 15:07:12, 0, Auto
3519.0, 1629.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9114.JPG, 28-09 16:08:17, 0, Auto
3519.0, 1628.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9115.JPG, 28-09 16:08:24, 0, Auto
3518.0, 1630.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9116.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1629.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9117.JPG, 28-09 16:08:24, 0, Auto
3521.0, 1629.0, 56.0, 64.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9118.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1628.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9119.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1629.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9120.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1629.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9121.JPG, 28-09 16:08:24, 0, Auto
3518.0, 1630.0, 59.0, 68.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9122.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1628.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9123.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1629.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9124.JPG, 28-09 16:08:24, 0, Auto
3520.0, 1630.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9125.JPG, 28-09 16:08:24, 0, Auto
3520.0, 1628.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9126.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1628.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9127.JPG, 30-05 15:14:12, 0, Auto
3518.0, 1629.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9128.JPG, 28-09 16:08:24, 0, Auto
3518.0, 1629.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9129.JPG, 28-09 16:08:24, 0, Auto
3518.0, 1627.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9130.JPG, 28-09 16:08:24, 0, Auto
3518.0, 1627.0, 58.0, 67.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9131.JPG, 28-09 16:08:24, 0, Auto
3519.0, 1630.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9132.JPG, 28-09 16:08:24, 0, Auto
3518.0, 1629.0, 57.0, 66.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9133.JPG, 28-09 16:08:24, 0, Auto
