3551, 1652, 71, 57, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5669.JPG, 03-06 16:38:47, 0, Start 
3550.92, 1652.01, 71.0, 57.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5669.JPG, 03-06 16:38:47, 0, Auto
3550.03, 1651.51, 72.42, 58.14, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5670.JPG, 03-06 16:38:47, 0, Auto
3552.49, 1651.92, 68.24, 54.79, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5671.JPG, 03-06 16:38:47, 0, Auto
3550.08, 1654.63, 71.0, 57.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5672.JPG, 03-06 16:38:47, 0, Auto
3551.37, 1651.57, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5673.JPG, 03-06 16:38:47, 0, Auto
3552.05, 1654.72, 65.59, 52.66, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5674.JPG, 03-06 16:38:47, 0, Auto
3551.2, 1651.75, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5675.JPG, 03-06 16:38:47, 0, Auto
3550.29, 1655.35, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5676.JPG, 03-06 16:38:47, 0, Auto
3548.55, 1653.88, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5677.JPG, 03-06 16:38:47, 0, Auto
3557.55, 1655.21, 68.24, 54.79, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5678.JPG, 03-06 16:38:47, 0, Auto
3558.73, 1653.48, 68.24, 54.79, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5679.JPG, 03-06 16:38:47, 0, Auto
3560.27, 1655.92, 71.0, 57.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5680.JPG, 03-06 16:38:47, 0, Auto
3566.75, 1654.0, 68.24, 54.79, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5681.JPG, 03-06 16:38:47, 0, Auto
3572.25, 1655.73, 68.24, 54.79, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5682.JPG, 03-06 16:38:47, 0, Auto
3570.04, 1656.69, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5683.JPG, 03-06 16:38:47, 0, Auto
3575.42, 1655.16, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5684.JPG, 03-06 16:38:47, 0, Auto
3578.43, 1655.12, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5685.JPG, 03-06 16:38:47, 0, Auto
3580.24, 1655.49, 68.24, 54.79, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5686.JPG, 03-06 16:38:47, 0, Auto
3584.4, 1656.81, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5687.JPG, 03-06 16:38:47, 0, Auto
3584.0, 1656.98, 69.61, 55.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\3\DSC_5688.JPG, 03-06 16:38:47, 0, Auto
