3368, 1545, 119, 95, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3586.JPG, 09-08 13:27:57, 0, Start 
3367.82, 1545.1, 119.0, 95.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3586.JPG, 09-08 13:27:57, 0, Auto
3358.87, 1551.25, 121.38, 96.9, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3587.JPG, 09-08 13:27:58, 0, Auto
3360.09, 1552.17, 119.0, 95.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3588.JPG, 09-08 13:27:58, 0, Auto
3359.0, 1551.17, 121.38, 96.9, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3589.JPG, 07-08 17:49:50, 0, Auto
3358.79, 1551.8, 121.38, 96.9, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3590.JPG, 09-08 13:27:58, 0, Auto
3360.83, 1552.33, 116.67, 93.14, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3591.JPG, 09-08 13:27:48, 0, Auto
3359.64, 1551.97, 119.0, 95.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3592.JPG, 09-08 13:27:48, 0, Auto
3358.28, 1550.83, 121.38, 96.9, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3593.JPG, 09-08 13:27:48, 0, Auto
3355.92, 1548.56, 126.28, 100.81, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3594.JPG, 09-08 13:27:48, 0, Auto
3351.17, 1545.85, 134.01, 106.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3595.JPG, 09-08 13:27:49, 0, Auto
3349.61, 1544.07, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3596.JPG, 09-08 13:27:49, 0, Auto
3349.7, 1543.52, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3597.JPG, 09-08 13:27:37, 0, Auto
3351.05, 1544.28, 134.01, 106.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3598.JPG, 09-08 13:27:49, 0, Auto
3350.72, 1544.52, 134.01, 106.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3599.JPG, 09-08 13:27:49, 0, Auto
3349.5, 1542.83, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3600.JPG, 07-08 17:55:20, 0, Auto
3349.63, 1543.21, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3601.JPG, 09-08 13:27:49, 0, Auto
3349.45, 1543.32, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3602.JPG, 09-08 13:27:49, 0, Auto
3349.31, 1543.28, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3603.JPG, 09-08 13:27:49, 0, Auto
3350.35, 1544.53, 134.01, 106.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3604.JPG, 09-08 13:27:49, 0, Auto
3350.27, 1544.36, 134.01, 106.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3605.JPG, 09-08 13:27:49, 0, Auto
3348.65, 1543.68, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3606.JPG, 09-08 13:27:49, 0, Auto
3349.33, 1542.45, 136.69, 109.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3607.JPG, 09-08 13:27:37, 0, Auto
3397, 1556, 67, 248, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3607.JPG, 09-08 13:27:37, 0, Start 
3396.91, 1555.87, 67.0, 248.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\49\Top\1\DSC_3607.JPG, 09-08 13:27:37, 0, Auto
