2128, 1578, 39, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 0, Start 
2048, 1615, 47, 65, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 1, Start 
2128.0, 1578.0, 39.0, 50.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 0, Auto
2048.0, 1615.0, 47.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 1, Auto
2107.0, 1576.0, 40.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7026.JPG, 23-03 10:56:04, 0, Auto
2024.0, 1614.0, 47.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7026.JPG, 23-03 10:56:04, 1, Auto
2086.0, 1574.0, 41.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7027.JPG, 23-03 10:56:34, 0, Auto
2002.0, 1613.0, 47.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7027.JPG, 23-03 10:56:34, 1, Auto
2065.0, 1570.0, 42.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7028.JPG, 23-03 10:57:04, 0, Auto
1981.0, 1611.0, 47.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7028.JPG, 23-03 10:57:04, 1, Auto
2047.0, 1570.0, 40.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7029.JPG, 23-03 10:57:34, 0, Auto
1959.0, 1608.0, 47.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7029.JPG, 23-03 10:57:34, 1, Auto
2030.0, 1565.0, 41.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7030.JPG, 23-03 10:58:04, 0, Auto
1939.0, 1604.0, 48.0, 66.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7030.JPG, 23-03 10:58:04, 1, Auto
2011.0, 1562.0, 40.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7031.JPG, 23-03 10:58:34, 0, Auto
1918.0, 1601.0, 47.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7031.JPG, 23-03 10:58:34, 1, Auto
1993.0, 1557.0, 40.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7032.JPG, 23-03 10:59:04, 0, Auto
1898.0, 1596.0, 47.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7032.JPG, 23-03 10:59:04, 1, Auto
1975.0, 1554.0, 38.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7033.JPG, 23-03 10:59:34, 0, Auto
1876.0, 1590.0, 48.0, 66.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7033.JPG, 23-03 10:59:34, 1, Auto
