1000, 1859, 18, 48, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6485_CROPED.jpg, path time not found, 0, Start 
1033, 1857, 22, 42, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6485_CROPED.jpg, path time not found, 1, Start 
1000.0, 1859.0, 18.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6485_CROPED.jpg, path time not found, 0, Auto
1033.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6485_CROPED.jpg, path time not found, 1, Auto
1000.0, 1859.0, 18.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6486_CROPED.jpg, path time not found, 0, Auto
1034.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6486_CROPED.jpg, path time not found, 1, Auto
1000.0, 1859.0, 18.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6487_CROPED.jpg, path time not found, 0, Auto
1033.0, 1857.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6487_CROPED.jpg, path time not found, 1, Auto
1001.0, 1860.0, 18.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6488_CROPED.jpg, path time not found, 0, Auto
1034.0, 1857.0, 22.0, 41.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6488_CROPED.jpg, path time not found, 1, Auto
1001.0, 1860.0, 18.0, 47.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6489_CROPED.jpg, path time not found, 0, Auto
1033.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6489_CROPED.jpg, path time not found, 1, Auto
1002.0, 1860.0, 18.0, 47.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6490_CROPED.jpg, path time not found, 0, Auto
1033.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6490_CROPED.jpg, path time not found, 1, Auto
995.0, 1862.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6491_CROPED.jpg, path time not found, 0, Auto
1025.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6491_CROPED.jpg, path time not found, 1, Auto
987.0, 1863.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6492_CROPED.jpg, path time not found, 0, Auto
1018.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6492_CROPED.jpg, path time not found, 1, Auto
981.0, 1863.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6493_CROPED.jpg, path time not found, 0, Auto
1011.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6493_CROPED.jpg, path time not found, 1, Auto
974.0, 1863.0, 16.0, 43.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6494_CROPED.jpg, path time not found, 0, Auto
1004.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6494_CROPED.jpg, path time not found, 1, Auto
967.0, 1864.0, 16.0, 43.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6495_CROPED.jpg, path time not found, 0, Auto
997.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6495_CROPED.jpg, path time not found, 1, Auto
960.0, 1864.0, 16.0, 43.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6496_CROPED.jpg, path time not found, 0, Auto
991.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6496_CROPED.jpg, path time not found, 1, Auto
952.0, 1863.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6497_CROPED.jpg, path time not found, 0, Auto
984.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6497_CROPED.jpg, path time not found, 1, Auto
947.0, 1863.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6498_CROPED.jpg, path time not found, 0, Auto
978.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6498_CROPED.jpg, path time not found, 1, Auto
940.0, 1863.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6499_CROPED.jpg, path time not found, 0, Auto
972.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6499_CROPED.jpg, path time not found, 1, Auto
934.0, 1864.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6500_CROPED.jpg, path time not found, 0, Auto
965.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6500_CROPED.jpg, path time not found, 1, Auto
928.0, 1864.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6501_CROPED.jpg, path time not found, 0, Auto
959.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6501_CROPED.jpg, path time not found, 1, Auto
920.0, 1862.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6502_CROPED.jpg, path time not found, 0, Auto
952.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6502_CROPED.jpg, path time not found, 1, Auto
916.0, 1862.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6503_CROPED.jpg, path time not found, 0, Auto
947.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6503_CROPED.jpg, path time not found, 1, Auto
909.0, 1863.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6504_CROPED.jpg, path time not found, 0, Auto
941.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6504_CROPED.jpg, path time not found, 1, Auto
904.0, 1861.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6505_CROPED.jpg, path time not found, 0, Auto
936.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6505_CROPED.jpg, path time not found, 1, Auto
899.0, 1862.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6506_CROPED.jpg, path time not found, 0, Auto
931.0, 1858.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6506_CROPED.jpg, path time not found, 1, Auto
894.0, 1862.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6507_CROPED.jpg, path time not found, 0, Auto
926.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6507_CROPED.jpg, path time not found, 1, Auto
888.0, 1862.0, 17.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6508_CROPED.jpg, path time not found, 0, Auto
921.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6508_CROPED.jpg, path time not found, 1, Auto
884.0, 1860.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6509_CROPED.jpg, path time not found, 0, Auto
915.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6509_CROPED.jpg, path time not found, 1, Auto
880.0, 1863.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6510_CROPED.jpg, path time not found, 0, Auto
911.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6510_CROPED.jpg, path time not found, 1, Auto
875.0, 1862.0, 17.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6511_CROPED.jpg, path time not found, 0, Auto
906.0, 1859.0, 22.0, 42.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6511_CROPED.jpg, path time not found, 1, Auto
