2491, 2841, 73, 67, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0001.JPG, 05-09 19:28:52, 0, Start 
2326, 2823, 81, 59, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0001.JPG, 05-09 19:28:52, 1, Start 
2491.0, 2841.0, 73.0, 67.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0001.JPG, 05-09 19:28:52, 0, Auto
2326.0, 2823.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0001.JPG, 05-09 19:28:52, 1, Auto
2491.0, 2841.0, 73.0, 67.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0002.JPG, 05-09 19:29:22, 0, Auto
2326.0, 2823.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0002.JPG, 05-09 19:29:22, 1, Auto
2491.0, 2840.0, 73.0, 67.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0003.JPG, 05-09 19:29:52, 0, Auto
2327.0, 2824.0, 83.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0003.JPG, 05-09 19:29:52, 1, Auto
2491.0, 2841.0, 72.0, 66.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0004.JPG, 05-09 19:30:22, 0, Auto
2327.0, 2824.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0004.JPG, 05-09 19:30:22, 1, Auto
2492.0, 2839.0, 73.0, 67.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0005.JPG, 05-09 19:30:52, 0, Auto
2328.0, 2824.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0005.JPG, 05-09 19:30:52, 1, Auto
2492.0, 2838.0, 72.0, 66.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0006.JPG, 05-09 19:31:22, 0, Auto
2328.0, 2824.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0006.JPG, 05-09 19:31:22, 1, Auto
